val1,val2,val3,last_matrix,num_moves_Q_learning_needs,first_move_by_Q_learning,Q_table_val
1,-1,-1,2,2,2,9960.02
2,10,0,1,12,0,9761.315609884174
-8,-24,4,2,12,0,9761.31560988418
-5,11,-3,3,8,0,9840.55888139888
-5,-16,1,1,12,0,9757.2472556467
8,-39,-6,4,14,2,9670.208086438444
-4,8,-8,2,12,2,9663.698696181098
6,-17,-2,4,10,2,9800.897604194965
-2,-6,0,3,8,1,9840.55888139888
3,0,-1,4,4,1,9920.119920019999
0,-4,6,1,8,1,9840.55888139888
-1,-14,1,1,14,1,9721.812539488605
6,6,2,4,8,1,9840.55888139888
6,3,4,1,10,1,9800.897604194965
0,-4,-2,4,6,0,9880.299600299879
4,0,0,1,4,1,9920.119920019999
6,-9,-2,4,8,1,9840.55888139888
2,-1,2,1,6,1,9880.299600299879
4,63,10,3,22,3,5982.344164984425
6,-1,0,3,8,1,9840.55888139888
-8,-28,8,2,16,3,9477.203312880818
1,8,3,4,8,0,9840.55888139888
1,-5,-3,4,6,0,9880.299600299879
-6,-6,4,3,10,0,9800.897604194965
-3,5,3,4,10,2,9800.511752611841
3,-5,3,1,10,2,9800.897604194965
-2,-1,4,2,6,0,9880.299600299879
2,-2,0,3,4,2,9920.119920019999
7,-12,-1,1,10,1,9800.870759529167
11,15,3,1,14,1,9712.119419398981
-1,6,-1,1,8,1,9840.55888139888
4,-23,-6,1,10,2,9800.716211814706
7,10,1,1,10,1,9800.897604194965
3,-7,1,4,10,0,9800.897604180143
3,-8,5,1,12,2,9761.315553819164
-4,-12,2,2,8,3,9840.55888139888
5,-6,-1,3,8,0,9840.55888139888
-5,4,-7,2,12,0,9761.31560988418
0,-4,-2,3,6,0,9880.299600299879
0,5,0,1,10,0,9800.897604194965
-2,-3,4,2,6,0,9880.299600299879
-1,-11,-1,2,12,3,9761.305854326694
-3,-1,1,3,4,0,9920.119920019999
-5,2,-3,2,8,0,9840.55888139888
7,22,7,2,14,3,9721.81273998002
-5,10,3,2,12,2,9761.31560988418
1,-1,1,4,4,1,9920.119920019999
0,6,-6,3,8,1,9840.55888139888
8,-23,-2,4,12,2,9761.31560988418
-2,11,0,1,12,1,9761.31560988418
4,0,2,3,6,1,9880.299600299879
-3,-5,1,3,6,3,9880.299600299879
3,-4,5,3,10,1,9800.897604194866
-5,-9,3,1,8,0,9840.55888139888
-1,21,-5,1,14,1,8768.403376629614
-4,19,-4,1,10,1,9800.897604194965
1,-9,-3,1,8,0,9840.55888139888
2,-4,-4,1,6,1,9880.299600299879
-4,12,-10,2,16,3,9677.082246103568
4,-2,-2,4,6,1,9880.299600299879
2,2,-4,4,8,1,9840.55888139888
3,7,5,3,8,1,9840.55888139888
3,-1,3,4,8,1,9840.55888139888
0,1,4,2,6,0,9880.299600299879
6,-8,-4,4,10,2,9800.897604194965
4,7,2,1,6,3,9880.299600299879
4,-8,-6,4,10,1,9800.897604194965
0,4,0,3,8,0,9840.55888139888
-1,7,1,3,10,1,9800.897603925961
-4,-1,-6,4,12,3,9760.770937743444
2,1,6,2,8,1,9840.55888139888
0,4,4,3,6,0,9880.299600299879
-1,7,-7,4,8,2,9840.55888139888
-2,-2,2,2,4,0,9920.119920019999
-5,13,-3,1,8,2,9840.55888139888
1,-14,-1,4,14,0,9721.689963985284
2,2,-4,1,8,1,9840.55888139888
-2,-2,0,3,4,3,9920.119920019999
0,5,0,4,10,0,9800.897604194965
5,4,1,3,6,1,9880.299600299879
-2,-2,4,2,6,0,9880.299600299879
3,3,-1,4,6,3,9880.299600299879
-4,6,-4,2,8,0,9840.55888139888
0,-7,-6,2,10,0,9800.897604194965
-7,23,-5,2,12,2,9756.92669997328
6,-13,0,4,12,0,9761.315600060097
-7,18,-5,2,12,2,9761.315609884075
4,-1,0,1,6,1,9880.299600299879
-1,20,-5,2,12,1,9716.436846070863
5,14,5,1,10,1,9800.897603136915
0,17,-6,1,12,1,9558.415038993111
-9,3,-3,2,12,0,9737.420481883313
1,-2,7,3,10,1,9800.897604194965
-3,1,3,2,8,0,9840.55888139888
0,-5,-2,1,8,0,9840.55888139888
-7,5,3,2,12,0,9759.112276059055
2,1,-6,3,10,1,9800.897604194965
-2,-7,4,2,6,3,9880.299600299879
3,-5,7,2,12,1,9761.31560988418
-4,-30,8,3,12,3,9761.31560936165
1,0,-3,3,4,1,9920.119920019999
-5,-23,1,3,16,2,9569.949305578624
4,10,4,3,8,1,9840.55888139888
5,25,5,3,10,3,9800.897604194965
6,-25,-2,4,14,1,9721.503901106382
-7,16,-3,2,10,0,9800.895847774784
-2,7,-2,3,8,1,9840.55888139888
0,11,2,2,12,2,9761.315609755698
2,4,2,2,4,3,9920.119920019999
2,2,-4,3,8,1,9840.55888139888
-5,18,-1,2,12,1,9761.31560988418
0,-2,0,4,6,0,9880.299600299879
0,4,4,1,6,0,9880.299600299879
-9,-28,7,3,16,0,9682.3888363128
0,15,4,2,12,0,9761.31560988418
-1,-7,-3,3,10,0,9800.897604194965
-4,1,0,4,6,0,9880.299600299879
5,4,1,1,6,1,9880.299600299879
1,2,1,1,4,0,9920.119920019999
-3,-1,-1,1,6,0,9880.299600299879
1,-5,-1,3,8,0,9840.55888139888
-1,3,1,2,6,2,9880.299600299879
-2,7,0,4,10,1,9800.897604194965
-1,1,7,4,10,0,9800.897604194965
-4,-4,2,3,6,0,9880.299600299879
-1,3,1,3,6,2,9880.299600299879
1,13,3,2,12,0,9761.31560988418
4,21,4,2,12,2,9761.315428739508
-3,10,-3,2,8,1,9840.55888139888
2,-5,-2,4,6,0,9880.299600299879
2,15,6,2,10,0,9800.897604194965
2,-10,0,4,12,2,9761.31560988418
4,10,2,2,8,0,9840.55888139888
-7,4,1,1,10,0,9800.897604194965
-2,6,-2,2,6,1,9880.299600299879
1,13,-3,3,12,3,9721.46229161258
-2,2,-2,4,4,0,9920.119920019999
0,-14,-6,1,12,2,9731.015650915493
7,5,1,1,8,1,9840.55888139888
-9,32,-7,2,16,2,9682.3888363128
-1,-4,-1,2,8,0,9840.55888139888
-3,-4,3,2,6,0,9880.299600299879
9,-12,-3,1,12,2,8408.098102994312
-1,-3,-5,2,8,0,9840.55888139888
-5,5,-3,2,8,0,9840.55888139888
2,2,0,4,4,3,9920.119920019999
2,-12,-4,2,8,0,9840.55888139888
3,2,1,1,4,1,9920.119920019999
4,-4,-2,3,6,1,9880.299600299879
-8,7,0,3,10,0,9800.897604194965
-2,-3,4,3,6,0,9880.299600299879
3,-6,1,4,8,2,9840.55888139888
5,-6,-1,1,8,0,9840.55888139888
2,-7,4,3,10,1,9800.897604194965
0,5,-4,2,8,1,9840.55888139888
-3,2,1,3,6,0,9880.299600299879
1,-18,-9,4,12,0,9363.160130341483
-4,-22,8,2,12,3,9761.315609883204
0,-3,0,2,8,0,9840.55888139888
-2,14,-6,4,10,2,9800.89759535509
1,-9,1,3,12,1,9761.314394146164
-7,13,-1,4,10,2,9800.897513416496
-2,3,2,3,8,0,9840.55888139888
-5,0,-5,3,10,0,9800.897604194965
-1,-5,3,1,6,1,9880.299600299879
-1,1,-5,4,6,2,9880.299600299879
0,9,0,4,12,3,9761.31558963206
2,0,2,1,4,1,9920.119920019999
2,11,-6,3,14,3,9670.755849390294
1,19,7,3,12,0,9663.702453784597
4,-12,-4,3,8,1,9840.55888139888
3,-9,-1,4,8,2,9840.55888139888
-9,3,-1,2,10,0,9800.897604194965
8,-8,-2,4,10,1,9800.897604194965
6,11,2,3,8,3,9840.55888139888
5,-6,1,1,10,0,9800.897604194965
3,5,1,3,6,3,9880.299600299879
4,6,4,1,8,1,9840.55888139888
2,7,2,3,8,0,9840.55888139888
-5,7,5,4,14,2,9608.641499971194
0,4,-2,1,6,1,9880.299600299879
4,-10,-4,2,8,1,9840.55888139888
3,1,1,4,4,1,9920.119920019999
