,A,B,detA,detB,accuracy,product_dets,success,A_matrix_first,A_matrix_second,A_matrix_third,A_matrix_fourth,B_matrix_first,B_matrix_second,B_matrix_third,B_matrix_fourth,A_matrix,B_matrix
62,"[[ 0  0]
 [-1 -1]]","[[ 0  2]
 [-3  0]]",0.0,6.0,0.724572479724884,0.0,False,0,0,-1,-1,0,2,-3,0,"[[ 0  0]
 [-1 -1]]","[[ 0  2]
 [-3  0]]"
63,"[[ 0 -3]
 [ 2  1]]","[[ 0  1]
 [ 2 -3]]",6.0,-2.0,0.4825482666492462,-12.0,False,0,-3,2,1,0,1,2,-3,"[[ 0 -3]
 [ 2  1]]","[[ 0  1]
 [ 2 -3]]"
64,"[[ 0 -1]
 [-1  1]]","[[ 3 -2]
 [ 0  0]]",-1.0,0.0,0.7497749924659729,-0.0,False,0,-1,-1,1,3,-2,0,0,"[[ 0 -1]
 [-1  1]]","[[ 3 -2]
 [ 0  0]]"
65,"[[-3 -1]
 [ 0 -2]]","[[ 3  0]
 [-1 -1]]",6.0,-3.0,0.2550255060195923,-18.0,False,-3,-1,0,-2,3,0,-1,-1,"[[-3 -1]
 [ 0 -2]]","[[ 3  0]
 [-1 -1]]"
66,"[[-3 -3]
 [ 3  0]]","[[ 0  0]
 [-1  1]]",9.0,0.0,0.6496649384498596,0.0,False,-3,-3,3,0,0,0,-1,1,"[[-3 -3]
 [ 3  0]]","[[ 0  0]
 [-1  1]]"
67,"[[2 0]
 [2 2]]","[[ 3  1]
 [-3  1]]",4.0,6.0,0.5849584937095642,24.0,False,2,0,2,2,3,1,-3,1,"[[2 0]
 [2 2]]","[[ 3  1]
 [-3  1]]"
68,"[[ 2 -3]
 [-3  3]]","[[-2 -3]
 [ 1 -1]]",-3.0,5.0,0.4937493801116943,-15.0,False,2,-3,-3,3,-2,-3,1,-1,"[[ 2 -3]
 [-3  3]]","[[-2 -3]
 [ 1 -1]]"
69,"[[-3 -1]
 [ 2  0]]","[[ 0 -2]
 [-1 -3]]",2.0,-2.0,0.7266726493835449,-4.0,False,-3,-1,2,0,0,-2,-1,-3,"[[-3 -1]
 [ 2  0]]","[[ 0 -2]
 [-1 -3]]"
70,"[[-1  1]
 [ 1  3]]","[[-3 -1]
 [-2  3]]",-4.0,-11.0,0.3306330740451813,44.0,False,-1,1,1,3,-3,-1,-2,3,"[[-1  1]
 [ 1  3]]","[[-3 -1]
 [-2  3]]"
71,"[[-3  3]
 [ 1  2]]","[[-2 -1]
 [ 2  1]]",-9.0,0.0,0.5881587862968445,-0.0,False,-3,3,1,2,-2,-1,2,1,"[[-3  3]
 [ 1  2]]","[[-2 -1]
 [ 2  1]]"
72,"[[-1 -3]
 [ 1  0]]","[[ 1 -2]
 [ 0 -1]]",3.0,-1.0,0.7204720377922058,-3.0,False,-1,-3,1,0,1,-2,0,-1,"[[-1 -3]
 [ 1  0]]","[[ 1 -2]
 [ 0 -1]]"
73,"[[3 1]
 [1 3]]","[[-3 -1]
 [-3  3]]",8.0,-12.0,0.2959295809268951,-96.0,False,3,1,1,3,-3,-1,-3,3,"[[3 1]
 [1 3]]","[[-3 -1]
 [-3  3]]"
74,"[[0 1]
 [0 0]]","[[-3  2]
 [ 3  1]]",0.0,-9.0,0.497749775648117,-0.0,False,0,1,0,0,-3,2,3,1,"[[0 1]
 [0 0]]","[[-3  2]
 [ 3  1]]"
75,"[[-1  0]
 [ 0 -2]]","[[-1 -3]
 [ 0  3]]",2.0,-3.0,0.0,-6.0,False,-1,0,0,-2,-1,-3,0,3,"[[-1  0]
 [ 0 -2]]","[[-1 -3]
 [ 0  3]]"
76,"[[ 3 -1]
 [-1 -2]]","[[-2 -2]
 [ 3 -3]]",-7.0,12.0,0.2813281416893005,-84.0,False,3,-1,-1,-2,-2,-2,3,-3,"[[ 3 -1]
 [-1 -2]]","[[-2 -2]
 [ 3 -3]]"
77,"[[ 3 -2]
 [-3 -1]]","[[ 2  2]
 [ 3 -1]]",-9.0,-8.0,0.2273227274417877,72.0,False,3,-2,-3,-1,2,2,3,-1,"[[ 3 -2]
 [-3 -1]]","[[ 2  2]
 [ 3 -1]]"
78,"[[-2  0]
 [-1  1]]","[[-2 -2]
 [-2  2]]",-2.0,-8.0,0.8315831422805786,16.0,True,-2,0,-1,1,-2,-2,-2,2,"[[-2  0]
 [-1  1]]","[[-2 -2]
 [-2  2]]"
79,"[[-1  0]
 [ 1  2]]","[[ 3  0]
 [-1 -1]]",-2.0,-3.0,0.593259334564209,6.0,False,-1,0,1,2,3,0,-1,-1,"[[-1  0]
 [ 1  2]]","[[ 3  0]
 [-1 -1]]"
80,"[[ 1  3]
 [ 0 -1]]","[[1 1]
 [0 0]]",-1.0,0.0,0.5022502541542053,-0.0,False,1,3,0,-1,1,1,0,0,"[[ 1  3]
 [ 0 -1]]","[[1 1]
 [0 0]]"
81,"[[-2  3]
 [ 0  1]]","[[-1  3]
 [ 3 -2]]",-2.0,-7.0,0.990799069404602,14.0,True,-2,3,0,1,-1,3,3,-2,"[[-2  3]
 [ 0  1]]","[[-1  3]
 [ 3 -2]]"
82,"[[0 3]
 [3 0]]","[[-3 -2]
 [ 0 -3]]",-9.0,9.0,0.4888488948345184,-81.0,False,0,3,3,0,-3,-2,0,-3,"[[0 3]
 [3 0]]","[[-3 -2]
 [ 0 -3]]"
83,"[[ 2 -1]
 [ 3 -3]]","[[ 0 -3]
 [ 1  2]]",-3.0,3.0,0.7159715890884399,-9.0,False,2,-1,3,-3,0,-3,1,2,"[[ 2 -1]
 [ 3 -3]]","[[ 0 -3]
 [ 1  2]]"
84,"[[-2  2]
 [ 1  3]]","[[-3 -1]
 [-2 -2]]",-8.0,4.0,0.244024395942688,-32.0,False,-2,2,1,3,-3,-1,-2,-2,"[[-2  2]
 [ 1  3]]","[[-3 -1]
 [-2 -2]]"
85,"[[ 3  3]
 [-3  1]]","[[ 3 -1]
 [ 2 -3]]",12.0,-7.0,0.4119412004947662,-84.0,False,3,3,-3,1,3,-1,2,-3,"[[ 3  3]
 [-3  1]]","[[ 3 -1]
 [ 2 -3]]"
86,"[[-2  2]
 [-2  3]]","[[ 3  1]
 [-3 -1]]",-2.0,0.0,0.4395439624786377,-0.0,False,-2,2,-2,3,3,1,-3,-1,"[[-2  2]
 [-2  3]]","[[ 3  1]
 [-3 -1]]"
87,"[[ 0 -2]
 [-1 -2]]","[[ 2 -3]
 [ 1  3]]",-2.0,9.0,0.0,-18.0,False,0,-2,-1,-2,2,-3,1,3,"[[ 0 -2]
 [-1 -2]]","[[ 2 -3]
 [ 1  3]]"
88,"[[-3  3]
 [ 1  2]]","[[-1 -2]
 [-1  3]]",-9.0,-5.0,0.4112411141395569,45.0,False,-3,3,1,2,-1,-2,-1,3,"[[-3  3]
 [ 1  2]]","[[-1 -2]
 [-1  3]]"
89,"[[-2  2]
 [-3  0]]","[[ 2  1]
 [ 1 -1]]",6.0,-3.0,0.5193519592285156,-18.0,False,-2,2,-3,0,2,1,1,-1,"[[-2  2]
 [-3  0]]","[[ 2  1]
 [ 1 -1]]"
90,"[[-3  1]
 [-2  2]]","[[ 2 -2]
 [ 0  0]]",-4.0,0.0,0.6866686940193176,-0.0,False,-3,1,-2,2,2,-2,0,0,"[[-3  1]
 [-2  2]]","[[ 2 -2]
 [ 0  0]]"
91,"[[0 1]
 [1 1]]","[[ 1  3]
 [ 1 -1]]",-1.0,-4.0,0.7746774554252625,4.0,False,0,1,1,1,1,3,1,-1,"[[0 1]
 [1 1]]","[[ 1  3]
 [ 1 -1]]"
92,"[[3 0]
 [1 2]]","[[-1 -3]
 [-3 -1]]",6.0,-8.0,0.6046604514122009,-48.0,False,3,0,1,2,-1,-3,-3,-1,"[[3 0]
 [1 2]]","[[-1 -3]
 [-3 -1]]"
93,"[[ 1 -2]
 [-3  3]]","[[-1 -1]
 [ 0  3]]",-3.0,-3.0,0.0,9.0,False,1,-2,-3,3,-1,-1,0,3,"[[ 1 -2]
 [-3  3]]","[[-1 -1]
 [ 0  3]]"
94,"[[3 1]
 [1 2]]","[[ 1  3]
 [ 3 -2]]",5.0,-11.0,0.497749775648117,-55.0,False,3,1,1,2,1,3,3,-2,"[[3 1]
 [1 2]]","[[ 1  3]
 [ 3 -2]]"
95,"[[-1 -1]
 [ 2  0]]","[[-2 -3]
 [ 3 -1]]",2.0,11.0,0.5022502541542053,22.0,False,-1,-1,2,0,-2,-3,3,-1,"[[-1 -1]
 [ 2  0]]","[[-2 -3]
 [ 3 -1]]"
96,"[[-2  0]
 [ 3 -1]]","[[ 3  3]
 [ 3 -3]]",2.0,-18.0,0.497749775648117,-36.0,False,-2,0,3,-1,3,3,3,-3,"[[-2  0]
 [ 3 -1]]","[[ 3  3]
 [ 3 -3]]"
97,"[[-1  1]
 [ 3 -3]]","[[-1  0]
 [-3  0]]",0.0,0.0,0.9565956592559814,0.0,True,-1,1,3,-3,-1,0,-3,0,"[[-1  1]
 [ 3 -3]]","[[-1  0]
 [-3  0]]"
98,"[[ 0  0]
 [-2  1]]","[[-2 -2]
 [-2 -2]]",0.0,0.0,0.5022502541542053,0.0,False,0,0,-2,1,-2,-2,-2,-2,"[[ 0  0]
 [-2  1]]","[[-2 -2]
 [-2 -2]]"
