A,B,detA,detB,accuracy
"[[-3 -1]
 [ 1  1]]","[[-3 -2]
 [ 1 -1]]",-2.0,5.0,0.9255925416946411
"[[ 1 -2]
 [-2  2]]","[[ 2 -2]
 [-3 -2]]",-2.0,-10.0,0.8374837636947632
"[[-2 -3]
 [ 2  0]]","[[-3 -2]
 [ 3 -1]]",6.0,9.0,0.9287928938865662
"[[-1 -1]
 [ 1 -2]]","[[-1 -2]
 [ 3  0]]",3.0,6.0,0.547254741191864
"[[ 0 -2]
 [ 1 -2]]","[[ 3 -1]
 [-1 -1]]",2.0,-4.0,0.8382838368415833
"[[ 1 -2]
 [-3  3]]","[[-2  0]
 [-1  2]]",-3.0,-4.0,0.8334833383560181
"[[ 0  0]
 [-1 -1]]","[[ 0  2]
 [-3  0]]",0.0,6.0,0.7244724631309509
"[[ 0 -3]
 [ 2  1]]","[[ 0  1]
 [ 2 -3]]",6.0,-2.0,0.7300730347633362
"[[ 0 -1]
 [-1  1]]","[[ 3 -2]
 [ 0  0]]",-1.0,0.0,0.7497749924659729
"[[-3 -1]
 [ 0 -2]]","[[ 3  0]
 [-1 -1]]",6.0,-3.0,0.5022502541542053
"[[-3 -3]
 [ 3  0]]","[[ 0  0]
 [-1  1]]",9.0,0.0,0.8086808919906616
"[[2 0]
 [2 2]]","[[ 3  1]
 [-3  1]]",4.0,6.0,0.49774977564811707
"[[ 2 -3]
 [-3  3]]","[[-2 -3]
 [ 1 -1]]",-3.0,5.0,0.6594659686088562
"[[-3 -1]
 [ 2  0]]","[[ 0 -2]
 [-1 -3]]",2.0,-2.0,0.7366736531257629
"[[-1  1]
 [ 1  3]]","[[-3 -1]
 [-2  3]]",-4.0,-11.0,0.49774977564811707
"[[-3  3]
 [ 1  2]]","[[-2 -1]
 [ 2  1]]",-9.0,0.0,1.0
"[[-1 -3]
 [ 1  0]]","[[ 1 -2]
 [ 0 -1]]",3.0,-1.0,0.6766676902770996
"[[3 1]
 [1 3]]","[[-3 -1]
 [-3  3]]",8.0,-12.0,0.48994898796081543
"[[0 1]
 [0 0]]","[[-3  2]
 [ 3  1]]",0.0,-9.0,0.5545554757118225
"[[-1  0]
 [ 0 -2]]","[[-1 -3]
 [ 0  3]]",2.0,-3.0,0.5022502541542053
"[[ 3 -1]
 [-1 -2]]","[[-2 -2]
 [ 3 -3]]",-7.0,12.0,0.49774977564811707
"[[ 3 -2]
 [-3 -1]]","[[ 2  2]
 [ 3 -1]]",-9.0,-8.0,0.5022502541542053
"[[-2  0]
 [-1  1]]","[[-2 -2]
 [-2  2]]",-2.0,-8.0,0.7962796092033386
"[[-1  0]
 [ 1  2]]","[[ 3  0]
 [-1 -1]]",-2.0,-3.0,0.6705670356750488
"[[ 1  3]
 [ 0 -1]]","[[1 1]
 [0 0]]",-1.0,0.0,0.5022502541542053
"[[-2  3]
 [ 0  1]]","[[-1  3]
 [ 3 -2]]",-2.0,-7.0,0.4956495761871338
"[[0 3]
 [3 0]]","[[-3 -2]
 [ 0 -3]]",-9.0,9.0,0.4895489513874054
"[[ 2 -1]
 [ 3 -3]]","[[ 0 -3]
 [ 1  2]]",-3.0,3.0,0.7132713198661804
"[[-2  2]
 [ 1  3]]","[[-3 -1]
 [-2 -2]]",-8.0,4.0,0.5022502541542053
"[[ 3  3]
 [-3  1]]","[[ 3 -1]
 [ 2 -3]]",12.0,-7.0,0.49774977564811707
"[[-2  2]
 [-2  3]]","[[ 3  1]
 [-3 -1]]",-2.0,0.0,0.7348734736442566
"[[ 0 -2]
 [-1 -2]]","[[ 2 -3]
 [ 1  3]]",-2.0,9.0,0.49774977564811707
"[[-3  3]
 [ 1  2]]","[[-1 -2]
 [-1  3]]",-9.0,-5.0,0.5938593745231628
"[[-2  2]
 [-3  0]]","[[ 2  1]
 [ 1 -1]]",6.0,-3.0,0.6112611293792725
"[[-3  1]
 [-2  2]]","[[ 2 -2]
 [ 0  0]]",-4.0,0.0,0.710671067237854
"[[0 1]
 [1 1]]","[[ 1  3]
 [ 1 -1]]",-1.0,-4.0,0.8079807758331299
"[[3 0]
 [1 2]]","[[-1 -3]
 [-3 -1]]",6.0,-8.0,0.49774977564811707
"[[ 1 -2]
 [-3  3]]","[[-1 -1]
 [ 0  3]]",-3.0,-3.0,0.5022502541542053
"[[3 1]
 [1 2]]","[[ 1  3]
 [ 3 -2]]",5.0,-11.0,0.5022502541542053
"[[-1 -1]
 [ 2  0]]","[[-2 -3]
 [ 3 -1]]",2.0,11.0,0.5022502541542053
"[[-2  0]
 [ 3 -1]]","[[ 3  3]
 [ 3 -3]]",2.0,-18.0,0.49774977564811707
"[[-1  1]
 [ 3 -3]]","[[-1  0]
 [-3  0]]",0.0,0.0,1.0
"[[ 0  0]
 [-2  1]]","[[-2 -2]
 [-2 -2]]",0.0,0.0,1.0
