val1,val2,val3,val4,best_move,dist_to_id
1.0,0.0,-3.0,1.0,1.0,5.0
1.0,6.0,-3.0,-17.0,2.0,5.0
10.0,3.0,-27.0,-8.0,3.0,5.0
1.0,0.0,-3.0,1.0,0.0,5.0
-8.0,3.0,21.0,-8.0,1.0,5.0
1.0,3.0,-6.0,-17.0,2.0,5.0
1.0,0.0,-3.0,1.0,3.0,5.0
1.0,-3.0,-6.0,19.0,0.0,5.0
1.0,0.0,-9.0,1.0,1.0,5.0
1.0,0.0,-3.0,1.0,2.0,5.0
-8.0,-3.0,27.0,10.0,3.0,5.0
1.0,-6.0,-3.0,19.0,0.0,5.0
10.0,-3.0,-33.0,10.0,1.0,5.0
1.0,3.0,0.0,1.0,2.0,5.0
1.0,0.0,3.0,1.0,3.0,5.0
1.0,-3.0,0.0,1.0,0.0,5.0
1.0,0.0,-3.0,1.0,1.0,5.0
1.0,6.0,-3.0,-17.0,2.0,5.0
10.0,3.0,-27.0,-8.0,3.0,5.0
1.0,0.0,-3.0,1.0,0.0,5.0
-8.0,3.0,21.0,-8.0,1.0,5.0
10.0,27.0,-3.0,-8.0,2.0,5.0
1.0,-3.0,0.0,1.0,3.0,5.0
10.0,-33.0,-3.0,10.0,0.0,5.0
19.0,-3.0,-6.0,1.0,1.0,5.0
1.0,-3.0,0.0,1.0,2.0,5.0
-17.0,-6.0,3.0,1.0,3.0,5.0
1.0,-9.0,0.0,1.0,0.0,5.0
19.0,-6.0,-3.0,1.0,1.0,5.0
-8.0,-27.0,3.0,10.0,2.0,5.0
-17.0,-3.0,6.0,1.0,3.0,5.0
-8.0,21.0,3.0,-8.0,0.0,5.0
1.0,-3.0,0.0,1.0,1.0,5.0
1.0,3.0,0.0,1.0,2.0,5.0
1.0,0.0,3.0,1.0,3.0,5.0
1.0,-3.0,0.0,1.0,0.0,5.0
1.0,0.0,-3.0,1.0,1.0,5.0
1.0,3.0,0.0,1.0,2.0,5.0
1.0,0.0,3.0,1.0,3.0,5.0
1.0,-3.0,0.0,1.0,0.0,5.0
1.0,0.0,-3.0,1.0,1.0,5.0
1.0,0.0,3.0,1.0,2.0,5.0
-8.0,-3.0,-21.0,-8.0,3.0,5.0
1.0,-6.0,3.0,-17.0,0.0,5.0
10.0,-3.0,27.0,-8.0,1.0,5.0
1.0,3.0,6.0,19.0,2.0,5.0
1.0,0.0,9.0,1.0,3.0,5.0
1.0,-3.0,6.0,-17.0,0.0,5.0
1.0,0.0,3.0,1.0,1.0,5.0
1.0,6.0,3.0,19.0,2.0,5.0
10.0,3.0,33.0,10.0,3.0,5.0
1.0,0.0,3.0,1.0,0.0,5.0
-8.0,3.0,-27.0,10.0,1.0,5.0
-8.0,-21.0,-3.0,-8.0,2.0,5.0
1.0,3.0,0.0,1.0,3.0,5.0
-8.0,27.0,-3.0,10.0,0.0,5.0
-17.0,3.0,-6.0,1.0,1.0,5.0
1.0,3.0,0.0,1.0,2.0,5.0
1.0,0.0,3.0,1.0,3.0,5.0
1.0,-3.0,0.0,1.0,0.0,5.0
1.0,0.0,-3.0,1.0,1.0,5.0
10.0,33.0,3.0,10.0,2.0,5.0
19.0,3.0,6.0,1.0,3.0,5.0
10.0,-27.0,3.0,-8.0,0.0,5.0
1.0,3.0,0.0,1.0,1.0,5.0
1.0,9.0,0.0,1.0,2.0,5.0
19.0,6.0,3.0,1.0,3.0,5.0
1.0,3.0,0.0,1.0,0.0,5.0
