val1,val2,val3,val4,best_move,dist_to_id
1.0,-3.0,0.0,1.0,0.0,7.0
1.0,0.0,-3.0,1.0,1.0,7.0
1.0,6.0,-3.0,-17.0,2.0,7.0
10.0,3.0,-27.0,-8.0,3.0,7.0
1.0,0.0,-3.0,1.0,0.0,7.0
-8.0,3.0,21.0,-8.0,1.0,7.0
-8.0,-21.0,45.0,118.0,2.0,7.0
1.0,3.0,-6.0,-17.0,3.0,7.0
-8.0,27.0,45.0,-152.0,0.0,7.0
-17.0,3.0,96.0,-17.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
10.0,33.0,-57.0,-188.0,2.0,7.0
19.0,3.0,-108.0,-17.0,3.0,7.0
10.0,-27.0,-57.0,154.0,0.0,7.0
1.0,3.0,-6.0,-17.0,1.0,7.0
1.0,9.0,-6.0,-53.0,2.0,7.0
19.0,6.0,-111.0,-35.0,3.0,7.0
1.0,3.0,-6.0,-17.0,0.0,7.0
-17.0,6.0,99.0,-35.0,1.0,7.0
-17.0,-48.0,147.0,415.0,2.0,7.0
-8.0,3.0,69.0,-26.0,3.0,7.0
-17.0,54.0,147.0,-467.0,0.0,7.0
-26.0,3.0,225.0,-26.0,1.0,7.0
-8.0,3.0,69.0,-26.0,2.0,7.0
73.0,27.0,-630.0,-233.0,3.0,7.0
-8.0,51.0,69.0,-440.0,0.0,7.0
-89.0,27.0,768.0,-233.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
-8.0,-45.0,69.0,388.0,2.0,7.0
-71.0,-21.0,612.0,181.0,3.0,7.0
-8.0,3.0,69.0,-26.0,0.0,7.0
55.0,-21.0,-474.0,181.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,0.0,-9.0,1.0,2.0,7.0
-8.0,-3.0,75.0,28.0,3.0,7.0
1.0,-6.0,-9.0,55.0,0.0,7.0
10.0,-3.0,-93.0,28.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
10.0,3.0,-87.0,-26.0,2.0,7.0
-71.0,-27.0,618.0,235.0,3.0,7.0
10.0,-57.0,-87.0,496.0,0.0,7.0
91.0,-27.0,-792.0,235.0,1.0,7.0
19.0,60.0,-165.0,-521.0,2.0,7.0
28.0,3.0,-243.0,-26.0,3.0,7.0
19.0,-54.0,-165.0,469.0,0.0,7.0
10.0,3.0,-87.0,-26.0,1.0,7.0
10.0,63.0,-87.0,-548.0,2.0,7.0
109.0,33.0,-948.0,-287.0,3.0,7.0
10.0,3.0,-87.0,-26.0,0.0,7.0
-89.0,33.0,774.0,-287.0,1.0,7.0
-17.0,-45.0,150.0,397.0,2.0,7.0
1.0,6.0,-9.0,-53.0,3.0,7.0
-17.0,57.0,150.0,-503.0,0.0,7.0
-35.0,6.0,309.0,-53.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
19.0,63.0,-168.0,-557.0,2.0,7.0
37.0,6.0,-327.0,-53.0,3.0,7.0
19.0,-51.0,-168.0,451.0,0.0,7.0
1.0,6.0,-9.0,-53.0,1.0,7.0
1.0,12.0,-9.0,-107.0,2.0,7.0
28.0,9.0,-249.0,-80.0,3.0,7.0
1.0,6.0,-9.0,-53.0,0.0,7.0
-26.0,9.0,231.0,-80.0,1.0,7.0
28.0,81.0,-177.0,-512.0,2.0,7.0
19.0,-3.0,-120.0,19.0,3.0,7.0
28.0,-87.0,-177.0,550.0,0.0,7.0
37.0,-3.0,-234.0,19.0,1.0,7.0
19.0,-3.0,-120.0,19.0,2.0,7.0
-161.0,-60.0,1017.0,379.0,3.0,7.0
19.0,-117.0,-120.0,739.0,0.0,7.0
199.0,-60.0,-1257.0,379.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
19.0,111.0,-120.0,-701.0,2.0,7.0
