val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
-4,-14,0,4,1,9761.310594188837
-2,16,-16,4,1,0.0
-5,-16,5,2,0,9800.897604194965
-3,-2,-1,2,0,9880.299600299879
-6,-17,-2,3,0,8625.713097324093
1,0,1,4,1,9960.02
-6,25,-12,2,2,0.0
-1,1,1,2,0,9920.119920019999
-5,-19,3,4,3,9800.897604194965
2,-4,0,1,2,9880.299600299879
-10,-27,2,1,3,9720.511347949176
9,-1,-3,2,1,9715.029466891549
4,25,6,4,0,9696.14806564529
2,-7,-8,4,2,9800.897604194965
-4,6,4,4,2,9761.315609410733
2,-6,0,3,0,9840.55888139888
-1,-2,1,3,1,9920.119920019999
-2,5,0,3,1,9840.55888139888
2,-3,4,1,1,9840.55888139888
-6,-46,4,3,3,1423.8824350642196
-4,21,-8,2,2,9761.315609870435
-1,-10,7,3,1,9800.897604194965
2,-22,4,4,1,9643.040692665234
-5,-11,1,3,0,9800.897604194965
2,-7,-2,2,0,9840.55888139888
-4,-11,0,2,3,9800.897604194965
4,-1,2,4,1,9840.55888139888
-2,9,0,1,1,9800.897604194539
-4,-50,12,3,3,9519.781121316713
-11,10,1,4,1,1177.4476539654104
2,10,-6,4,1,9741.692185768641
-8,7,-2,4,0,9800.866456488466
0,20,8,3,3,6464.702662241364
-10,14,-4,3,0,9721.812103662596
2,4,0,1,3,9880.299600299879
5,-8,-7,3,1,9761.31560988418
3,-12,-9,4,1,9761.31560988418
-5,24,-7,1,0,9761.31560988418
0,1,4,3,0,9880.299600299879
5,-9,-3,2,1,9840.55888139888
6,2,-2,4,1,9800.897604194965
-6,18,-2,4,2,9800.897604194965
3,-6,-1,1,2,9880.299600299879
-9,-6,3,3,0,9761.31560988418
2,-27,-4,2,3,8681.802845169392
-1,-46,-13,3,0,0.0
-6,8,-2,4,0,9840.55888139888
2,13,4,4,0,9800.897604194965
7,2,-1,3,1,9800.897604194965
-1,3,-1,1,1,9880.299600299879
-4,16,-4,2,2,9840.55888139888
2,10,6,3,3,9840.55888139888
5,8,3,2,1,9840.55888139888
0,7,-6,1,2,9800.897604194963
-4,23,-4,1,1,9761.315609302435
-3,-16,3,2,1,9800.897604194965
8,27,0,3,3,9492.49658308063
-9,-10,-5,4,2,0.0
11,25,3,1,3,7794.530076653819
0,4,6,1,0,9840.55888139888
-7,44,-3,1,0,0.0
9,41,5,2,3,9525.31023163108
-5,13,3,1,2,9721.812724102288
-5,39,-3,3,2,9642.762661797755
-7,-12,1,3,0,9800.897604194965
4,14,2,3,0,9800.897604194965
2,-28,-8,4,0,9707.783245300028
4,4,2,3,1,9880.299600299879
7,15,-1,3,3,9721.795152079156
-2,-4,-6,2,0,9800.892867360635
7,-17,-5,1,1,9761.31560988418
3,-3,1,3,2,9880.299600299879
-4,9,-10,4,0,9721.81273985217
4,7,2,4,3,9880.299600299879
-5,0,9,4,0,9721.81273998002
7,-39,-9,1,0,-9.0
-6,1,-2,3,0,9840.55888139888
4,23,-2,3,1,7615.555398328778
1,31,9,2,3,6031.677137986204
4,5,2,3,1,9880.299600299879
4,26,10,1,3,9721.81273998002
-4,-15,4,2,3,9840.55888139888
4,1,-6,3,3,9761.31399029133
11,10,3,3,3,0.0
0,-16,6,1,1,9761.315475804062
-1,-7,-3,1,0,9800.897604194965
3,-9,1,2,2,9800.897604194965
0,9,-4,3,1,9800.897604194965
-5,-30,7,3,3,9761.31560988418
2,20,2,4,2,9616.408127400486
5,-3,1,4,1,9840.55888139888
0,6,-8,1,1,9800.897604194965
-1,-7,3,1,1,9840.55888139888
-5,17,-5,3,0,9800.897604194965
-3,1,-3,2,0,9880.299600299879
-5,5,-3,1,0,9840.55888139888
3,-21,-5,2,0,9761.315573652626
6,6,4,3,1,9800.897604194965
2,2,-2,2,1,9880.299600299879
0,1,-2,1,1,9920.119920019999
-4,-4,0,2,3,9880.299600299879
-1,8,3,3,0,9800.887892530758
-4,25,-2,1,1,9721.81273998002
-2,25,-8,4,2,9721.703160753174
8,22,4,4,3,9761.315592890049
4,-19,-4,4,0,9800.897604194965
13,-7,-1,4,2,0.0
13,50,5,1,0,0.0
7,-5,-1,3,1,9840.55888139888
-2,-4,-4,3,0,9840.55888139888
3,-32,-13,4,3,0.0
-4,1,10,3,0,0.0
5,12,9,1,3,9557.029389948713
-2,-8,6,3,3,9840.55888139888
6,9,0,3,1,9800.897604194965
10,-35,-2,1,2,9276.746246079927
-4,-3,2,3,0,9880.299600299879
0,9,4,4,0,9800.89760418765
4,-15,-4,1,2,9840.55888139888
-7,-10,5,2,3,9761.31560988418
3,-3,-1,4,2,9920.119920019999
1,3,3,1,3,9920.119920019999
-1,8,-9,1,2,9800.897604194965
-4,14,-6,2,0,9800.897604194965
-3,-14,3,3,1,9800.897604194965
1,14,-5,1,1,9761.31560988418
3,0,7,3,1,9800.575729600976
-8,-15,4,3,3,9758.617237832257
-2,6,0,1,1,9840.55888139888
-3,9,-1,4,2,9840.55888139888
0,2,-2,2,1,9920.119920019999
-4,-14,4,1,3,9840.55888139888
-10,-17,6,4,0,9682.3888363128
1,1,1,3,3,9960.02
1,0,7,2,1,9840.55888139888
-7,11,-3,1,0,9800.897604194965
-10,58,-4,4,1,3286.636935289858
11,3,1,1,1,0.0
-7,45,-1,1,1,4990.628827521125
-3,-19,-1,1,3,9682.009776390372
-1,-6,-1,4,0,9800.897604194763
-2,-15,6,1,1,9800.897604194965
-3,5,-7,1,0,9800.897604194965
-7,17,-1,3,0,9761.31560988418
6,-3,-4,1,1,9800.897604194965
-2,-13,-4,3,1,9602.495293246277
7,6,3,1,1,9800.897604194965
0,-8,0,1,0,9761.31560988418
-2,-10,-10,2,3,9054.339075001573
