val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
-2,9,0,1,9,0.0
-4,-50,12,3,21,4.0
-11,10,1,4,13,1.0
2,10,-6,4,11,2.0
-8,7,-2,4,9,2.0
0,20,8,3,15,0.0
-10,14,-4,3,13,3.7416573867739413
2,4,0,1,5,0.0
5,-8,-7,3,11,2.8284271247461903
3,-12,-9,4,11,3.0
-5,24,-7,1,11,4.898979485566356
0,1,4,3,5,0.0
5,-9,-3,2,7,3.0
6,2,-2,4,9,1.4142135623730951
-6,18,-2,4,9,2.0
3,-6,-1,1,5,1.0
-9,-6,3,3,13,2.449489742783178
2,-27,-4,2,15,2.0
-1,-46,-13,3,27,1.0
-6,8,-2,4,7,2.0
2,13,4,4,9,2.0
7,2,-1,3,9,1.0
-1,3,-1,1,5,1.0
-4,16,-4,2,7,4.0
2,10,6,3,7,2.0
5,8,3,2,7,2.8284271247461903
0,7,-6,1,9,0.0
-4,23,-4,1,11,4.0
-3,-16,3,2,9,3.0
8,27,0,3,15,0.0
-9,-10,-5,4,19,3.1622776601683795
11,25,3,1,13,3.0
0,4,6,1,7,0.0
-7,44,-3,1,17,3.0
9,41,5,2,13,5.0
-5,13,3,1,13,3.0
-5,39,-3,3,25,3.0
-7,-12,1,3,9,1.0
4,14,2,3,9,2.0
2,-28,-8,4,17,2.0
4,4,2,3,5,2.0
7,15,-1,3,13,1.0
-2,-4,-6,2,9,2.0
7,-17,-5,1,11,4.123105625617661
3,-3,1,3,5,1.0
-4,9,-10,4,15,3.0
4,7,2,4,5,2.0
-5,0,9,4,15,0.0
7,-39,-9,1,15,6.244997998398398
-6,1,-2,3,7,1.0
4,23,-2,3,17,2.0
1,31,9,2,15,1.0
4,5,2,3,5,2.0
4,26,10,1,13,4.0
-4,-15,4,2,7,3.872983346207417
4,1,-6,3,11,1.0
11,10,3,3,17,3.0
0,-16,6,1,11,0.0
-1,-7,-3,1,9,1.0
3,-9,1,2,9,1.0
0,9,-4,3,9,0.0
-5,-30,7,3,11,5.0
2,20,2,4,15,2.0
5,-3,1,4,7,1.0
0,6,-8,1,9,0.0
-1,-7,3,1,7,1.0
-5,17,-5,3,9,4.123105625617661
-3,1,-3,2,5,1.0
-5,5,-3,1,7,2.23606797749979
3,-21,-5,2,11,3.0
6,6,4,3,9,2.449489742783178
2,2,-2,2,5,1.4142135623730951
0,1,-2,1,3,0.0
-4,-4,0,2,5,0.0
-1,8,3,3,9,1.0
-4,25,-2,1,15,2.0
-2,25,-8,4,13,2.0
8,22,4,4,11,4.0
4,-19,-4,4,9,4.0
13,-7,-1,4,13,1.0
13,50,5,1,17,5.0
7,-5,-1,3,7,1.0
-2,-4,-4,3,7,2.0
3,-32,-13,4,17,3.0
-4,1,10,3,15,1.0
5,12,9,1,15,3.4641016151377544
-2,-8,6,3,7,2.0
6,9,0,3,9,0.0
10,-35,-2,1,19,2.0
-4,-3,2,3,5,1.7320508075688772
0,9,4,4,9,0.0
4,-15,-4,1,7,3.872983346207417
-7,-10,5,2,11,3.1622776601683795
3,-3,-1,4,3,1.0
1,3,3,1,3,1.0
-1,8,-9,1,9,1.0
-4,14,-6,2,9,3.7416573867739413
-3,-14,3,3,9,3.0
1,14,-5,1,13,1.0
3,0,7,3,9,0.0
-8,-15,4,3,11,3.872983346207417
-2,6,0,1,7,0.0
-3,9,-1,4,7,1.0
0,2,-2,2,3,0.0
-4,-14,4,1,7,3.7416573867739413
-10,-17,6,4,15,4.123105625617661
1,1,1,3,1,1.0
1,0,7,2,7,0.0
-7,11,-3,1,9,3.0
-10,58,-4,4,21,4.0
11,3,1,1,13,1.0
-7,45,-1,1,21,1.0
-3,-19,-1,1,17,1.0
-1,-6,-1,4,9,1.0
-2,-15,6,1,9,2.0
-3,5,-7,1,9,2.23606797749979
-7,17,-1,3,11,1.0
6,-3,-4,1,9,1.7320508075688772
-2,-13,-4,3,15,2.0
7,6,3,1,9,2.449489742783178
0,-8,0,1,11,0.0
-2,-10,-10,2,17,2.0
4,-11,-10,4,13,3.3166247903554
-9,-24,3,2,11,3.0
2,10,6,3,7,2.0
8,43,4,3,15,4.0
2,-8,-6,4,7,2.0
2,-1,2,4,5,1.0
-5,3,1,4,7,1.0
-4,17,-10,2,23,4.0
-3,9,-5,2,7,3.0
-4,0,6,3,11,0.0
-1,8,5,1,9,1.0
8,44,10,1,19,6.6332495807108
-2,53,8,4,35,2.0
-7,-20,-1,1,13,1.0
-1,4,1,3,7,1.0
-4,20,-10,4,13,4.0
